train_leads.py gs
Calling the run method
[123][123/400][1/1] | loss: 3.688e-02 | loss_train: 8.676e-03 | loss_e0: 3.200e-02 | loss_e1: 5.543e-02 | loss_e2: 2.321e-02
[124][124/400][1/1] | loss: 3.912e-02 | loss_train: 7.615e-03 | loss_e0: 3.265e-02 | loss_e1: 6.109e-02 | loss_e2: 2.361e-02
[125][125/400][1/1] | loss: 4.068e-02 | loss_train: 9.392e-03 | loss_e0: 3.322e-02 | loss_e1: 6.469e-02 | loss_e2: 2.411e-02
[126][126/400][1/1] | loss: 3.919e-02 | loss_train: 8.961e-03 | loss_e0: 3.206e-02 | loss_e1: 6.187e-02 | loss_e2: 2.365e-02
[127][127/400][1/1] | loss: 3.655e-02 | loss_train: 9.772e-03 | loss_e0: 3.076e-02 | loss_e1: 5.610e-02 | loss_e2: 2.279e-02
[128][128/400][1/1] | loss: 3.314e-02 | loss_train: 8.012e-03 | loss_e0: 2.920e-02 | loss_e1: 4.815e-02 | loss_e2: 2.207e-02
[129][129/400][1/1] | loss: 3.008e-02 | loss_train: 7.544e-03 | loss_e0: 2.845e-02 | loss_e1: 3.986e-02 | loss_e2: 2.192e-02
[130][130/400][1/1] | loss: 2.782e-02 | loss_train: 7.761e-03 | loss_e0: 2.831e-02 | loss_e1: 3.307e-02 | loss_e2: 2.207e-02
[131][131/400][1/1] | loss: 2.712e-02 | loss_train: 7.930e-03 | loss_e0: 2.832e-02 | loss_e1: 3.065e-02 | loss_e2: 2.240e-02
[132][132/400][1/1] | loss: 2.682e-02 | loss_train: 9.152e-03 | loss_e0: 2.831e-02 | loss_e1: 2.974e-02 | loss_e2: 2.241e-02
[133][133/400][1/1] | loss: 2.664e-02 | loss_train: 7.540e-03 | loss_e0: 2.812e-02 | loss_e1: 2.960e-02 | loss_e2: 2.219e-02
[134][134/400][1/1] | loss: 2.638e-02 | loss_train: 1.029e-02 | loss_e0: 2.785e-02 | loss_e1: 2.950e-02 | loss_e2: 2.181e-02
[135][135/400][1/1] | loss: 2.619e-02 | loss_train: 7.285e-03 | loss_e0: 2.756e-02 | loss_e1: 2.946e-02 | loss_e2: 2.156e-02
