Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[56][56/1000][1/1] | loss: 7.003e-02 | loss_train: 5.221e-02 | loss_e0: 1.563e-02 | loss_e1: 1.959e-01 | loss_e2: 4.643e-03 | loss_e3: 1.726e-03 | loss_e4: 1.758e-01 | loss_e5: 2.657e-02
[57][57/1000][1/1] | loss: 6.972e-02 | loss_train: 4.973e-02 | loss_e0: 1.523e-02 | loss_e1: 2.059e-01 | loss_e2: 4.752e-03 | loss_e3: 1.666e-03 | loss_e4: 1.747e-01 | loss_e5: 1.612e-02
[58][58/1000][1/1] | loss: 6.663e-02 | loss_train: 5.328e-02 | loss_e0: 1.557e-02 | loss_e1: 1.952e-01 | loss_e2: 4.916e-03 | loss_e3: 1.881e-03 | loss_e4: 1.732e-01 | loss_e5: 8.978e-03
[59][59/1000][1/1] | loss: 5.953e-02 | loss_train: 4.775e-02 | loss_e0: 1.591e-02 | loss_e1: 1.519e-01 | loss_e2: 5.005e-03 | loss_e3: 2.126e-03 | loss_e4: 1.720e-01 | loss_e5: 1.024e-02
[60][60/1000][1/1] | loss: 5.863e-02 | loss_train: 4.813e-02 | loss_e0: 1.601e-02 | loss_e1: 1.432e-01 | loss_e2: 4.967e-03 | loss_e3: 2.228e-03 | loss_e4: 1.714e-01 | loss_e5: 1.406e-02
[61][61/1000][1/1] | loss: 6.244e-02 | loss_train: 4.685e-02 | loss_e0: 1.635e-02 | loss_e1: 1.666e-01 | loss_e2: 4.828e-03 | loss_e3: 2.234e-03 | loss_e4: 1.710e-01 | loss_e5: 1.366e-02
[62][62/1000][1/1] | loss: 6.969e-02 | loss_train: 4.543e-02 | loss_e0: 1.695e-02 | loss_e1: 2.138e-01 | loss_e2: 4.638e-03 | loss_e3: 2.258e-03 | loss_e4: 1.705e-01 | loss_e5: 1.003e-02
[63][63/1000][1/1] | loss: 7.737e-02 | loss_train: 4.367e-02 | loss_e0: 1.715e-02 | loss_e1: 2.639e-01 | loss_e2: 4.467e-03 | loss_e3: 2.268e-03 | loss_e4: 1.695e-01 | loss_e5: 7.026e-03
[64][64/1000][1/1] | loss: 7.823e-02 | loss_train: 4.312e-02 | loss_e0: 1.654e-02 | loss_e1: 2.729e-01 | loss_e2: 4.375e-03 | loss_e3: 2.169e-03 | loss_e4: 1.676e-01 | loss_e5: 5.772e-03
[65][65/1000][1/1] | loss: 6.832e-02 | loss_train: 4.104e-02 | loss_e0: 1.593e-02 | loss_e1: 2.167e-01 | loss_e2: 4.376e-03 | loss_e3: 1.998e-03 | loss_e4: 1.655e-01 | loss_e5: 5.449e-03
[66][66/1000][1/1] | loss: 6.044e-02 | loss_train: 3.910e-02 | loss_e0: 1.543e-02 | loss_e1: 1.722e-01 | loss_e2: 4.427e-03 | loss_e3: 1.832e-03 | loss_e4: 1.631e-01 | loss_e5: 5.609e-03
[67][67/1000][1/1] | loss: 6.054e-02 | loss_train: 3.713e-02 | loss_e0: 1.484e-02 | loss_e1: 1.755e-01 | loss_e2: 4.536e-03 | loss_e3: 1.657e-03 | loss_e4: 1.608e-01 | loss_e5: 5.973e-03
[68][68/1000][1/1] | loss: 6.733e-02 | loss_train: 3.637e-02 | loss_e0: 1.431e-02 | loss_e1: 2.188e-01 | loss_e2: 4.747e-03 | loss_e3: 1.492e-03 | loss_e4: 1.584e-01 | loss_e5: 6.297e-03
[69][69/1000][1/1] | loss: 7.581e-02 | loss_train: 3.216e-02 | loss_e0: 1.385e-02 | loss_e1: 2.723e-01 | loss_e2: 5.039e-03 | loss_e3: 1.323e-03 | loss_e4: 1.560e-01 | loss_e5: 6.339e-03
[70][70/1000][1/1] | loss: 8.300e-02 | loss_train: 2.958e-02 | loss_e0: 1.402e-02 | loss_e1: 3.177e-01 | loss_e2: 5.299e-03 | loss_e3: 1.148e-03 | loss_e4: 1.537e-01 | loss_e5: 6.093e-03
[71][71/1000][1/1] | loss: 8.384e-02 | loss_train: 2.745e-02 | loss_e0: 1.457e-02 | loss_e1: 3.249e-01 | loss_e2: 5.419e-03 | loss_e3: 9.882e-04 | loss_e4: 1.515e-01 | loss_e5: 5.670e-03
[72][72/1000][1/1] | loss: 7.940e-02 | loss_train: 2.519e-02 | loss_e0: 1.493e-02 | loss_e1: 3.011e-01 | loss_e2: 5.303e-03 | loss_e3: 8.630e-04 | loss_e4: 1.489e-01 | loss_e5: 5.285e-03
[73][73/1000][1/1] | loss: 7.114e-02 | loss_train: 2.288e-02 | loss_e0: 1.494e-02 | loss_e1: 2.569e-01 | loss_e2: 5.051e-03 | loss_e3: 7.874e-04 | loss_e4: 1.444e-01 | loss_e5: 4.795e-03
[74][74/1000][1/1] | loss: 6.657e-02 | loss_train: 2.021e-02 | loss_e0: 1.485e-02 | loss_e1: 2.424e-01 | loss_e2: 4.786e-03 | loss_e3: 7.664e-04 | loss_e4: 1.321e-01 | loss_e5: 4.467e-03
[75][75/1000][1/1] | loss: 6.307e-02 | loss_train: 1.748e-02 | loss_e0: 1.492e-02 | loss_e1: 2.565e-01 | loss_e2: 4.632e-03 | loss_e3: 7.968e-04 | loss_e4: 9.657e-02 | loss_e5: 5.021e-03
[76][76/1000][1/1] | loss: 6.644e-02 | loss_train: 1.810e-02 | loss_e0: 1.486e-02 | loss_e1: 2.766e-01 | loss_e2: 4.517e-03 | loss_e3: 8.461e-04 | loss_e4: 9.614e-02 | loss_e5: 5.739e-03
[77][77/1000][1/1] | loss: 8.970e-02 | loss_train: 2.084e-02 | loss_e0: 1.432e-02 | loss_e1: 2.764e-01 | loss_e2: 4.409e-03 | loss_e3: 8.559e-04 | loss_e4: 2.369e-01 | loss_e5: 5.324e-03
[78][78/1000][1/1] | loss: 7.487e-02 | loss_train: 1.935e-02 | loss_e0: 1.339e-02 | loss_e1: 2.298e-01 | loss_e2: 4.243e-03 | loss_e3: 8.157e-04 | loss_e4: 1.962e-01 | loss_e5: 4.794e-03
